CandidateID,Firstme,Lastme,Gender,RequisitionID,ApplicationDate,Source,CurrentStage,JobID,DepartmentID,JobTitle,JobLevel,Recruiter,InterviewScore,OfferAccepted,DaysToFill
500001,Daniela,Quilliway,Female,701416,2024-09-03,Career Site,Interview,17,5,Senior Fincial Alyst,3,D. Patel,2.5,,
500002,Arthur,Lakesonmere,Male,702359,2024-07-27,LinkedIn,Hired,38,11,Legal Alyst,2,S. Lee,2.7,Yes,61
500003,Ele,Langinridge,Female,700489,2025-08-20,LinkedIn,Offer Extended,18,5,Fince Mager,4,A. Carter,4.9,No,25
500004,George,Blakeingman,Male,700984,2025-02-06,LinkedIn,Hired,12,3,Director of Product,6,A. Carter,2.4,Yes,49
500005,Jeremiah,Foxlinshire,Male,700782,2024-05-24,LinkedIn,Phone Screen,15,4,IT Mager,4,A. Carter,,,
500006,Grace,Ellanquist,Female,702299,2024-10-21,Networking Event,Phone Screen,19,5,Director of Fince,6,M. Davis,,,
500007,Abigail,Goldenbrook,Female,702175,2024-10-05,Indeed,Interview,40,11,General Counsel,8,K. Brown,2.3,,
500008,Jordan,Windlinsen,Male,701208,2024-11-21,Career Site,Phone Screen,16,5,Fincial Alyst,2,S. Lee,,,
500009,Carla,Fordaquist,Female,702500,2025-04-24,LinkedIn,Withdrawn,24,6,Director of HR,6,M. Davis,,,
500010,Paige,Blakewall,Female,700457,2024-02-29,Interl,Rejected,11,3,Senior Product Mager,4,K. Brown,3.3,,
500011,Kai,Crowafield,Female,701848,2024-02-20,Referral,Phone Screen,37,10,Director of Customer Support,5,D. Patel,,,
500012,Austin,Darnenstone,Male,700185,2024-12-05,Networking Event,Applied,40,11,General Counsel,8,A. Carter,,,
500013,Hanh,Rainley,Female,701155,2025-12-05,LinkedIn,Interview,19,5,Director of Fince,6,R. Thomas,2.6,,
500014,Jacob,Blacksonland,Male,700801,2025-11-06,Indeed,Phone Screen,33,9,Operations Mager,4,D. Patel,,,
500015,James,Rowerthorne,Male,700549,2024-07-17,Campus,Rejected,11,3,Senior Product Mager,4,K. Brown,2.9,,
500016,Felix,Crossinstone,Male,701861,2025-09-28,LinkedIn,Fil Interview,5,2,Software Engineer II,2,K. Brown,2.1,,
500017,Evelyn,Brookman,Non-Biry,702683,2025-06-21,Career Site,Applied,1,1,Chief Executive Officer,10,A. Carter,,,
500018,Audrey,Greenleywall,Female,702708,2026-02-10,Referral,Phone Screen,24,6,Director of HR,6,J. Watson,,,
500019,Roman,Ashingridge,Male,702715,2025-08-18,Career Site,Offer Extended,25,7,Marketing Specialist,1,A. Carter,3.2,No,64
500020,Kai,Maranshire,Male,702777,2025-06-23,Career Site,Fil Interview,38,11,Legal Alyst,2,M. Davis,3.8,,
500021,Caleb,Cranettstrom,Male,702099,2024-05-20,Referral,Fil Interview,16,5,Fincial Alyst,2,J. Watson,2.9,,
500022,Leah,Daloward,Female,702682,2024-05-18,Indeed,Interview,25,7,Marketing Specialist,1,D. Patel,2.2,,
500023,Delilah,Lakeiford,Female,700321,2025-12-21,Referral,Withdrawn,29,8,Account Executive,2,D. Patel,,,
500024,Kai,Grayarbrook,Female,700317,2024-08-01,Indeed,Withdrawn,5,2,Software Engineer II,2,T. Nguyen,,,
500025,Harper,Wrentonland,Female,701340,2024-09-16,LinkedIn,Phone Screen,13,4,IT Support Specialist,1,S. Lee,,,
500026,Ariel,Whitunward,Male,700740,2025-01-27,Career Site,Interview,24,6,Director of HR,6,K. Brown,3.4,,
500027,Drew,Rainleyshire,Female,700862,2025-02-25,Agency,Hired,21,6,HR Generalist,2,J. Watson,2.8,Yes,83
500028,Rachel,Beckcroft,Female,701273,2025-12-10,LinkedIn,Applied,30,8,Sales Mager,4,K. Brown,,,
500029,Mia,Dunwall,Female,702006,2024-05-08,Referral,Rejected,2,1,Chief Operating Officer,9,M. Davis,4.6,,
500030,Savanh,Beckerden,Female,700459,2025-07-12,LinkedIn,Rejected,27,7,Marketing Director,5,J. Watson,3.7,,
500031,Simon,Stormleymont,Male,701339,2024-02-26,Indeed,Hired,34,9,Director of Operations,6,A. Carter,3.2,Yes,46
500032,Stephen,Stoneubry,Male,700108,2025-04-08,Indeed,Rejected,22,6,HR Business Partner,3,T. Nguyen,3.9,,
500033,Owen,Stoneanmont,Male,700723,2025-07-01,Indeed,Rejected,24,6,Director of HR,6,K. Brown,4,,
500034,Eden,Blandtonmere,Male,700888,2024-03-02,LinkedIn,Rejected,3,1,Vice President,8,K. Brown,4.2,,
500035,Kendall,Rairland,Male,701467,2024-03-19,Referral,Interview,8,2,Director of Engineering,6,A. Carter,3.6,,
500036,Rowan,Halluberg,Male,701507,2024-05-06,LinkedIn,Applied,12,3,Director of Product,6,R. Thomas,,,
500037,Miles,Rainettmond,Non-Biry,700138,2024-06-20,LinkedIn,Interview,16,5,Fincial Alyst,2,J. Watson,3.3,,
500038,Finley,Stoneorwell,Female,700515,2024-09-08,Referral,Withdrawn,21,6,HR Generalist,2,K. Brown,,,
500039,Peyton,Longingshire,Female,700151,2024-12-17,LinkedIn,Applied,5,2,Software Engineer II,2,M. Davis,,,
500040,Peyton,Wolfingcroft,Male,700880,2025-09-19,Indeed,Interview,24,6,Director of HR,6,T. Nguyen,4.6,,
500041,Nicole,Willridge,Female,701477,2025-08-30,Indeed,Applied,16,5,Fincial Alyst,2,A. Carter,,,
500042,Cameron,Summeruford,Non-Biry,702632,2024-11-26,LinkedIn,Rejected,3,1,Vice President,8,R. Thomas,3.9,,
500043,talie,Hayushire,Female,700852,2024-10-10,Career Site,Withdrawn,26,7,Digital Marketing Mager,3,M. Davis,,,
500044,than,Monoridge,Male,700253,2024-11-20,Interl,Interview,33,9,Operations Mager,4,A. Carter,4.2,,
500045,talie,Rowiham,Female,701935,2025-01-03,LinkedIn,Phone Screen,11,3,Senior Product Mager,4,D. Patel,,,
500046,Kaitlyn,Graylinson,Female,701331,2024-03-13,Career Site,Withdrawn,26,7,Digital Marketing Mager,3,M. Davis,,,
500047,Thomas,Hayway,Male,701592,2024-08-26,Campus,Applied,33,9,Operations Mager,4,K. Brown,,,
500048,Logan,Hartaford,Male,701650,2025-08-05,Campus,Hired,10,3,Product Mager,3,M. Davis,4.2,Yes,44
500049,Elia,Caldalin,Female,700095,2025-06-21,Indeed,Interview,40,11,General Counsel,8,T. Nguyen,4.1,,
500050,Autumn,Presewall,Female,702172,2024-08-30,Agency,Rejected,14,4,Systems Administrator,2,J. Watson,4.3,,
500051,Olivia,Crowtonridge,Female,701943,2025-07-23,Networking Event,Rejected,36,10,Customer Support Mager,3,R. Thomas,4.6,,
500052,Drew,Stormabrook,Female,701579,2024-09-30,LinkedIn,Applied,39,11,Corporate Counsel,4,J. Watson,,,
500053,Micah,Brookettby,Male,702431,2025-07-02,LinkedIn,Phone Screen,16,5,Fincial Alyst,2,K. Brown,,,
500054,Peter,Caronmore,Male,701512,2024-11-10,Referral,Rejected,2,1,Chief Operating Officer,9,J. Watson,2.7,,
500055,Micah,Presedale,Male,701154,2024-05-28,Indeed,Fil Interview,24,6,Director of HR,6,M. Davis,4.6,,
500056,Hanh,Millorsen,Female,702551,2024-09-12,LinkedIn,Offer Extended,35,10,Customer Support Representative,1,K. Brown,4.6,Pending,66
500057,Isaac,Marenson,Male,702319,2024-12-25,Referral,Withdrawn,11,3,Senior Product Mager,4,R. Thomas,,,
500058,Arthur,Golderstrom,Male,701724,2024-08-24,LinkedIn,Applied,29,8,Account Executive,2,M. Davis,,,
500059,Jordan,Silverleyson,Female,702244,2025-04-15,Referral,Phone Screen,33,9,Operations Mager,4,M. Davis,,,
500060,Delilah,Brookelworth,Female,700376,2024-04-17,LinkedIn,Offer Extended,37,10,Director of Customer Support,5,T. Nguyen,4,Pending,33
500061,Sarah,Whitistrom,Female,702648,2025-05-21,Agency,Interview,6,2,Senior Software Engineer,3,M. Davis,3.1,,
500062,Ian,Emunworth,Male,702759,2025-11-22,LinkedIn,Fil Interview,29,8,Account Executive,2,M. Davis,2.5,,
500063,Lucas,Eastmere,Male,702000,2025-04-06,LinkedIn,Phone Screen,18,5,Fince Mager,4,D. Patel,,,
500064,Finley,Westbry,Female,701080,2025-01-28,LinkedIn,Phone Screen,17,5,Senior Fincial Alyst,3,D. Patel,,,
500065,Ele,Grayford,Female,701953,2024-01-16,Interl,Phone Screen,24,6,Director of HR,6,M. Davis,,,
500066,Kayla,Caranby,Female,700086,2024-06-07,Career Site,Interview,9,3,Product Alyst,2,K. Brown,2.5,,
500067,Ethan,Fordingwood,Male,700489,2024-11-05,Agency,Fil Interview,18,5,Fince Mager,4,A. Carter,3.4,,
500068,Dakota,Bramalin,Male,700228,2025-06-04,LinkedIn,Phone Screen,7,2,Engineering Mager,4,A. Carter,,,
500069,Felix,Raderstone,Male,702197,2025-07-16,LinkedIn,Hired,38,11,Legal Alyst,2,D. Patel,2.6,Yes,24
500070,Peyton,Fairingbry,Female,701078,2024-12-13,Interl,Withdrawn,27,7,Marketing Director,5,T. Nguyen,,,
500071,Lillian,Roseafield,Female,700636,2024-06-27,LinkedIn,Applied,24,6,Director of HR,6,K. Brown,,,
500072,Nicholas,Fordiman,Male,700832,2024-04-06,Referral,Rejected,1,1,Chief Executive Officer,10,K. Brown,3,,
500073,Brooklyn,Sandham,Female,700501,2024-08-19,Campus,Fil Interview,8,2,Director of Engineering,6,S. Lee,2,,
500074,Dylan,Windinby,Male,702530,2025-11-01,LinkedIn,Applied,10,3,Product Mager,3,D. Patel,,,
500075,Hudson,Caldwiton,Male,702322,2025-06-01,LinkedIn,Fil Interview,1,1,Chief Executive Officer,10,T. Nguyen,3.1,,
500076,Madeline,Hollinlin,Female,702009,2025-08-21,Career Site,Applied,9,3,Product Alyst,2,R. Thomas,,,
500077,Isabella,Langtoncroft,Non-Biry,702060,2024-10-25,Indeed,Hired,22,6,HR Business Partner,3,M. Davis,2.1,Yes,42
500078,Maya,Torruton,Female,700532,2024-10-13,Referral,Applied,13,4,IT Support Specialist,1,A. Carter,,,
500079,Emma,Westinbrook,Non-Biry,701431,2024-10-10,Networking Event,Phone Screen,5,2,Software Engineer II,2,K. Brown,,,
500080,Alice,Wardarwall,Female,702481,2024-02-19,LinkedIn,Rejected,4,2,Software Engineer I,1,S. Lee,4.5,,
500081,Nicholas,Barunton,Male,700269,2025-02-16,Referral,Rejected,33,9,Operations Mager,4,S. Lee,3.7,,
500082,Sydney,Eastwelland,Female,701013,2024-04-22,Interl,Rejected,37,10,Director of Customer Support,5,R. Thomas,3.4,,
500083,Mia,Reedonford,Female,701819,2025-01-05,Agency,Rejected,27,7,Marketing Director,5,S. Lee,2.3,,
500084,Alexis,Bramsondale,Female,700759,2024-01-07,Referral,Phone Screen,5,2,Software Engineer II,2,S. Lee,,,
500085,Jeremiah,Sandsonstead,Non-Biry,700736,2024-07-21,LinkedIn,Offer Extended,32,9,Operations Alyst,2,A. Carter,3.8,Pending,65
500086,Taylor,Ashonman,Non-Biry,702434,2024-12-20,Campus,Interview,4,2,Software Engineer I,1,J. Watson,4.1,,
500087,Autumn,Brookinton,Female,700344,2025-09-30,LinkedIn,Offer Extended,16,5,Fincial Alyst,2,R. Thomas,2.7,Pending,43
500088,Colin,Ellerlin,Male,702031,2024-12-25,LinkedIn,Interview,6,2,Senior Software Engineer,3,K. Brown,3.5,,
500089,Anthony,Eastmont,Male,701889,2024-06-06,LinkedIn,Hired,30,8,Sales Mager,4,K. Brown,3.3,Yes,72
500090,Jackson,Westandale,Male,700352,2025-08-23,LinkedIn,Phone Screen,34,9,Director of Operations,6,T. Nguyen,,,
500091,Jothan,Oaksonstone,Male,702401,2025-04-06,Career Site,Phone Screen,14,4,Systems Administrator,2,M. Davis,,,
500092,Emily,Swaninmore,Female,701589,2024-01-14,LinkedIn,Offer Extended,4,2,Software Engineer I,1,J. Watson,2.1,Pending,53
500093,Christopher,Westworth,Male,701512,2025-03-30,Interl,Hired,2,1,Chief Operating Officer,9,J. Watson,3.2,Yes,80
